"Step","mix_pb_train2eval4_seed3 - 4cover_rate"
"180000","0.0625"
"360000","0.0595"
"540000","0.058"
"720000","0.069"
"900000","0.055"
"1080000","0.071"
"1260000","0.0755"
"1440000","0.0795"
"1620000","0.0665"
"1800000","0.0726"
"1980000","0.08979999999999999"
"2160000","0.069"
"2340000","0.0901"
"2520000","0.11"
"2700000","0.1095"
"2880000","0.13169999999999998"
"3060000","0.1294"
"3240000","0.1487"
"3420000","0.1392"
"3600000","0.1364"
"3780000","0.15380000000000002"
"3960000","0.14959999999999998"
"4140000","0.15969999999999998"
"4320000","0.1799"
"4500000","0.1758"
"4680000","0.1777"
"4860000","0.1899"
"5040000","0.195"
"5220000","0.193"
"5400000","0.1946"
"5580000","0.1965"
"5760000","0.20360000000000003"
"5940000","0.2017"
"6120000","0.2025"
"6300000","0.2005"
"6480000","0.2133"
"6660000","0.214"
"6840000","0.2175"
"7020000","0.2055"
"7200000","0.2143"
"7380000","0.2322"
"7560000","0.212"
"7740000","0.2127"
"7920000","0.2392"
"8100000","0.2213"
"8280000","0.2251"
"8460000","0.23839999999999997"
"8640000","0.234"
"8820000","0.2406"
"9000000","0.2436"
"9180000","0.2435"
"9360000","0.2512"
"9540000","0.2558"
"9720000","0.24850000000000003"
"9900000","0.2761"
"10080000","0.2671"
"10260000","0.2749"
"10440000","0.26609999999999995"
"10620000","0.2749"
"10800000","0.28629999999999994"
"10980000","0.3002"
"11160000","0.2895"
"11340000","0.2757"
"11520000","0.295"
"11700000","0.2858"
"11880000","0.30429999999999996"
"12060000","0.2945"
"12240000","0.32489999999999997"
"12420000","0.31910000000000005"
"12600000","0.3136"
"12780000","0.31639999999999996"
"12960000","0.3399"
"13140000","0.3349"
"13320000","0.338"
"13500000","0.33129999999999993"
"13680000","0.3225"
"13860000","0.33"
"14040000","0.344"
"14220000","0.3419"
"14400000","0.3363"
"14580000","0.3425"
"14760000","0.3356"
"14940000","0.35320000000000007"
"15120000","0.3261"
"15300000","0.3351"
"15480000","0.3455"
"15660000","0.3421"
"15840000","0.34259999999999996"
"16020000","0.3429"
"16200000","0.349"
"16380000","0.3618"
"16560000","0.34959999999999997"
"16740000","0.33170000000000005"
"16920000","0.3642"
"17100000","0.3652"
"17280000","0.3698"
"17460000","0.3599"
"17640000","0.3727"
"17820000","0.379"
"18000000","0.3847"
"18180000","0.3835"
"18360000","0.3929"
"18540000","0.3854"
"18720000","0.3858"
"18900000","0.4048"
"19080000","0.4109"
"19260000","0.3954"
"19440000","0.3990999999999999"
"19620000","0.4206"
"19800000","0.4233"
"19980000","0.4251"
"20160000","0.4172"
"20340000","0.4199"
"20520000","0.429"
"20700000","0.41870000000000007"
"20880000","0.4358"
"21060000","0.4332"
"21240000","0.4488"
"21420000","0.4358999999999999"
"21600000","0.4239"
"21780000","0.4401000000000001"
"21960000","0.4371"
"22140000","0.4519"
"22320000","0.4615"
"22500000","0.4503"
"22680000","0.439"
"22860000","0.46179999999999993"
"23040000","0.4591"
"23220000","0.4606"
"23400000","0.4872"
"23580000","0.4749"
"23760000","0.4639"
"23940000","0.4619"
"24120000","0.4772"
"24300000","0.4882"
"24480000","0.4857999999999999"
"24660000","0.4736999999999999"
"24840000","0.5037"
"25020000","0.497"
"25200000","0.4818"
"25380000","0.47320000000000007"
"25560000","0.5024"
"25740000","0.4908"
"25920000","0.4821"
"26100000","0.4971"
"26280000","0.4991999999999999"
"26460000","0.4891"
"26640000","0.4942"
"26820000","0.4956"
"27000000","0.4953"
"27180000","0.5016999999999999"
"27360000","0.5167"
"27540000","0.5166000000000001"
"27720000","0.5127"
"27900000","0.5164000000000001"
"28080000","0.5069"
"28260000","0.5184"
"28440000","0.515"
"28620000","0.5222"
"28800000","0.5382"
"28980000","0.5341"
"29160000","0.5199000000000001"
"29340000","0.5455"
"29520000","0.5205"
"29700000","0.5295"
"29880000","0.5164"
"30060000","0.5283"
"30240000","0.5494000000000001"
"30420000","0.56"
"30600000","0.55"
"30780000","0.5639000000000001"
"30960000","0.5619"
"31140000","0.5664"
"31320000","0.5542999999999999"
"31500000","0.5692"
"31680000","0.575"
"31860000","0.5600999999999999"
"32040000","0.5685999999999999"
"32220000","0.5846999999999999"
"32400000","0.5789000000000001"
"32580000","0.6013"
"32760000","0.5832999999999999"
"32940000","0.5917"
"33120000","0.606"
"33300000","0.5922000000000001"
"33480000","0.586"
"33660000","0.5932000000000001"
"33840000","0.6007"
"34020000","0.6156"
"34200000","0.6073999999999999"
"34380000","0.6143"
"34560000","0.5952999999999999"
"34740000","0.6056"
"34920000","0.5979000000000001"
"35100000","0.6127"
"35280000","0.6129"
"35460000","0.6038"
"35640000","0.6012"
"35820000","0.5967"
"36000000","0.604"
"36180000","0.6006"
"36360000","0.6013"
"36540000","0.6326"
"36720000","0.5958"
"36900000","0.6016"
"37080000","0.6204000000000001"
"37260000","0.6283999999999998"
"37440000","0.6154"
"37620000","0.6257"
"37800000","0.6297"
"37980000","0.6313"
"38160000","0.6407999999999999"
"38340000","0.6279"
"38520000","0.6414000000000001"
"38700000","0.6454000000000001"
"38880000","0.649"
"39060000","0.6487"
"39240000","0.6514"
"39420000","0.6466000000000001"
"39600000","0.6434000000000001"
"39780000","0.641"
"39960000","0.6548999999999999"
"40140000","0.65"
"40320000","0.6399"
"40500000","0.6581999999999999"
"40680000","0.6439"
"40860000","0.6479"
"41040000","0.6737000000000001"
"41220000","0.655"
"41400000","0.6447"
"41580000","0.6672"
"41760000","0.6402"
"41940000","0.652"
"42120000","0.6695999999999999"
"42300000","0.6526"
"42480000","0.6592"
"42660000","0.6494"
"42840000","0.6670999999999999"
"43020000","0.6732"
"43200000","0.6615"
"43380000","0.6641"
"43560000","0.6681999999999999"
"43740000","0.6792999999999999"
"43920000","0.6608999999999999"
"44100000","0.6698"
"44280000","0.6586"
"44460000","0.6764000000000001"
"44640000","0.6821"
"44820000","0.6965"
"45089640","0.6841"
"45359280","0.685"
"45628920","0.6754"
"45898560","0.7037"
"46168200","0.6832"
"46437840","0.6905"
"46707480","0.6858"
"46977120","0.6711"
"47246760","0.6688"
"47516400","0.6829000000000001"
"47786040","0.6906"
