"Step","transfer_0.9_load_optimizer_check_seed3 - 8cover_rate"
"105000","0.7966500000000001"
"210000","0.79145"
"315000","0.7192"
"420000","0.7026000000000001"
"525000","0.7031"
"630000","0.6906"
"735000","0.69115"
"840000","0.686"
"945000","0.66995"
"1050000","0.6862"
"1155000","0.698"
"1260000","0.7052999999999999"
"1365000","0.70255"
"1470000","0.70175"
"1575000","0.7106500000000001"
"1680000","0.70505"
"1785000","0.7042999999999999"
"1890000","0.71625"
"1995000","0.7145999999999999"
"2100000","0.7156999999999999"
"2205000","0.6961499999999999"
"2310000","0.69425"
"2415000","0.7079500000000001"
"2520000","0.7003499999999999"
"2625000","0.7222000000000001"
"2730000","0.7257"
"2835000","0.7208999999999999"
"2940000","0.7232999999999999"
"3045000","0.72445"
"3150000","0.72765"
"3255000","0.7179"
"3360000","0.7136999999999999"
"3465000","0.7092"
"3570000","0.7129500000000001"
"3675000","0.7135"
"3780000","0.6938"
"3885000","0.6962"
"3990000","0.70805"
"4095000","0.70575"
"4200000","0.7121000000000001"
"4305000","0.70535"
"4410000","0.7133499999999999"
"4515000","0.6992"
"4620000","0.69705"
"4725000","0.6986499999999999"
"4830000","0.7099500000000001"
"4935000","0.71835"
"5040000","0.7249000000000001"
"5145000","0.7188499999999999"
"5250000","0.7218"
"5355000","0.71575"
"5460000","0.72515"
"5565000","0.72175"
"5670000","0.7162"
"5775000","0.7353"
"5880000","0.72285"
"5985000","0.71875"
"6090000","0.72825"
"6195000","0.7147"
"6300000","0.7279"
"6405000","0.72905"
"6510000","0.7477999999999999"
"6615000","0.7424499999999999"
"6720000","0.7513"
"6825000","0.7598499999999999"
"6930000","0.75095"
"7035000","0.7511"
"7140000","0.7627"
"7245000","0.7684"
"7350000","0.75595"
"7455000","0.765"
"7560000","0.7646"
"7665000","0.76075"
"7770000","0.7753"
"7875000","0.7823"
"7980000","0.77915"
"8085000","0.7679499999999999"
"8190000","0.7703000000000001"
"8295000","0.7607"
"8400000","0.7624"
"8505000","0.7591"
"8610000","0.76755"
"8715000","0.7751"
"8820000","0.7825"
"8925000","0.7816000000000001"
"9030000","0.7854"
"9135000","0.7733499999999999"
"9240000","0.7878999999999999"
"9345000","0.7989499999999999"
"9450000","0.7958500000000001"
"9555000","0.7788499999999999"
"9660000","0.78045"
"9765000","0.78625"
"9870000","0.7933999999999999"
"9975000","0.8018"
"10080000","0.7914"
"10185000","0.8030499999999999"
"10290000","0.79635"
"10395000","0.7860999999999999"
"10500000","0.7953"
"10605000","0.7948"
"10710000","0.80075"
"10815000","0.8100499999999999"
"10920000","0.8153499999999999"
"11025000","0.8111999999999999"
"11130000","0.82105"
"11235000","0.82965"
"11340000","0.8200999999999999"
"11445000","0.8125"
"11550000","0.8238499999999999"
"11655000","0.8228499999999999"
"11760000","0.8198"
"11865000","0.81775"
"11970000","0.8269"
"12075000","0.83205"
"12180000","0.8196500000000001"
"12285000","0.8235"
"12390000","0.8308000000000001"
"12495000","0.8312999999999999"
"12600000","0.8142"
"12705000","0.80845"
"12810000","0.822"
"12915000","0.8285"
"13020000","0.8208499999999999"
"13125000","0.8305"
"13230000","0.8278"
"13335000","0.8423999999999999"
"13440000","0.848"
"13545000","0.8539"
"13650000","0.85675"
"13755000","0.84245"
"13860000","0.8448499999999999"
"13965000","0.8487"
"14070000","0.8412"
"14175000","0.8533999999999999"
"14280000","0.8427"
"14385000","0.84425"
"14490000","0.8346500000000001"
"14595000","0.8149"
"14700000","0.81175"
"14805000","0.82705"
