"Step","mix2n4_samebatch_again_seed3 - 4cover_rate"
"269640","0.6895"
"539280","0.6952999999999999"
"808920","0.6908"
"1078560","0.6914000000000001"
"1348200","0.7031000000000002"
"1617840","0.692"
"1887480","0.6929000000000001"
"2157120","0.6995"
"2426760","0.6974"
"2696400","0.6871"
"2966040","0.7046"
"3235680","0.687"
"3505320","0.6921"
"3774960","0.715"
"4044600","0.7108"
"4314240","0.6914"
"4583880","0.7091"
"4853520","0.7109000000000001"
"5123160","0.7078"
"5392800","0.7072"
"5662440","0.7219"
"5932080","0.7237"
"6201720","0.7087"
"6471360","0.7295999999999999"
"6741000","0.713"
"7010640","0.7299000000000001"
"7280280","0.7192999999999999"
"7549920","0.7171000000000001"
"7819560","0.7270999999999999"
"8089200","0.7062999999999999"
"8358840","0.7091"
"8628480","0.7078"
"8898120","0.7065999999999999"
"9167760","0.7167"
"9437400","0.7227"
"9707040","0.7201000000000001"
"9976680","0.7077"
"10246320","0.7107"
"10515960","0.6967000000000001"
"10785600","0.7077"
"11055240","0.6893"
"11324880","0.6964"
"11594520","0.6904000000000001"
"11864160","0.7047"
"12133800","0.7147"
"12403440","0.7191000000000001"
"12673080","0.7192000000000001"
"12942720","0.721"
"13212360","0.7082"
"13482000","0.7144000000000001"
"13751640","0.7022999999999999"
"14021280","0.7168"
"14290920","0.7189"
"14560560","0.7172999999999999"
"14830200","0.7113"
"15099840","0.7002"
"15369480","0.7102"
"15639120","0.7121000000000001"
"15908760","0.7122"
"16178400","0.7031"
"16448040","0.6992"
"16717680","0.7084000000000001"
"16987320","0.6997000000000001"
"17256960","0.716"
"17526600","0.707"
"17796240","0.7126"
"18065880","0.7051000000000001"
"18335520","0.6967000000000001"
"18605160","0.6951"
"18874800","0.7"
"19144440","0.704"
"19414080","0.7107"
"19683720","0.7065999999999999"
"19953360","0.7255"
"20223000","0.7072"
"20492640","0.7093"
"20762280","0.7104"
"21031920","0.703"
"21301560","0.704"
"21571200","0.6995"
"21840840","0.7058"
"22110480","0.7071000000000001"
"22380120","0.7099000000000001"
"22649760","0.7168"
"22919400","0.7168"
"23189040","0.7272000000000001"
"23458680","0.7171"
"23728320","0.7296"
"23997960","0.7349000000000001"
"24267600","0.7111"
"24537240","0.7064000000000001"
"24806880","0.7132000000000001"
"25076520","0.7128"
"25346160","0.7188"
"25615800","0.712"
"25885440","0.7267"
"26155080","0.7152000000000001"
"26424720","0.7256"
"26694360","0.693"
"26964000","0.6985999999999999"
"27233640","0.7037"
"27503280","0.7198"
"27772920","0.7201"
"28042560","0.7137"
"28312200","0.7091000000000001"
"28581840","0.7022999999999999"
"28851480","0.7012"
"29121120","0.7104"
"29390760","0.718"
"29660400","0.7183999999999999"
"29930040","0.7315"
"30199680","0.7235"
"30469320","0.7253999999999999"
"30738960","0.7477999999999999"
"31008600","0.743"
"31278240","0.737"
"31547880","0.7295"
"31817520","0.7333999999999999"
"32087160","0.738"
"32356800","0.7382000000000001"
"32626440","0.7257"
"32896080","0.7282000000000001"
"33165720","0.7147"
"33435360","0.7297"
"33705000","0.7274"
"33974640","0.7249000000000001"
"34244280","0.7262000000000001"
"34513920","0.7071000000000001"
"34783560","0.7313"
"35053200","0.7212"
"35322840","0.7353"
"35592480","0.736"
"35862120","0.728"
"36131760","0.7484"
"36401400","0.732"
"36671040","0.7502000000000001"
"36940680","0.736"
"37210320","0.7375"
"37479960","0.7459000000000001"
"37749600","0.7319"
"38019240","0.7315"
"38288880","0.7362000000000001"
"38558520","0.7407999999999999"
"38828160","0.7366"
"39097800","0.7581"
"39367440","0.7397"
"39637080","0.7483"
"39906720","0.7640999999999999"
"40176360","0.7467"
"40446000","0.7333999999999999"
"40715640","0.744"
"40985280","0.756"
"41254920","0.7324"
"41524560","0.7552000000000001"
"41794200","0.7363999999999999"
"42063840","0.7580999999999999"
"42333480","0.7273999999999999"
"42603120","0.768"
"42872760","0.7820999999999999"
"43142400","0.754"
"43412040","0.7616"
"43681680","0.7666"
"43951320","0.7553999999999998"
"44220960","0.7547999999999999"
"44490600","0.7667999999999999"
"44760240","0.7510999999999999"
"45029880","0.7544"
"45299520","0.7631"
"45569160","0.7593"
"45838800","0.7757000000000001"
"46108440","0.7715"
"46378080","0.7719"
"46647720","0.7637999999999999"
"46917360","0.7766000000000001"
"47187000","0.7841999999999999"
"47456640","0.7753"
"47726280","0.7724"
"47995920","0.7834000000000001"
"48265560","0.7647999999999999"
"48535200","0.7695"
"48804840","0.7884000000000001"
"49074480","0.7755"
"49344120","0.7752"
"49613760","0.7696"
"49883400","0.7786000000000001"
"50153040","0.7684000000000001"
"50422680","0.7759000000000001"
"50692320","0.782"
