"Step","mixed_ratio55_0.9_initial_optimizer_seed1 - 8cover_rate"
"157290","0.811"
"314580","0.8251000000000001"
"471870","0.82895"
"629160","0.83845"
"786450","0.8305499999999999"
"943740","0.83785"
"1101030","0.8332999999999999"
"1258320","0.8282999999999999"
"1415610","0.8324000000000001"
"1572900","0.829"
"1730190","0.8319500000000001"
"1887480","0.8395999999999999"
"2044770","0.8323499999999999"
"2202060","0.82505"
"2359350","0.8264499999999999"
"2516640","0.76605"
"2673930","0.7837999999999999"
"2831220","0.8221499999999998"
"2988510","0.8248"
"3145800","0.82375"
"3303090","0.84165"
"3460380","0.8455499999999999"
"3617670","0.8496999999999999"
"3774960","0.84"
"3932250","0.853"
"4089540","0.8502"
"4246830","0.8521"
"4404120","0.86665"
"4561410","0.87695"
"4718700","0.874"
"4875990","0.88095"
"5033280","0.87895"
"5190570","0.88085"
"5347860","0.88825"
"5505150","0.886"
"5662440","0.8778499999999999"
"5819730","0.8763"
"5977020","0.8728499999999999"
"6134310","0.87075"
"6291600","0.8763500000000001"
"6448890","0.8946"
"6606180","0.9004500000000001"
"6711180","0.90105"
"6816180","0.8898999999999999"
"6921180","0.8888999999999999"
"7026180","0.8936499999999999"
"7131180","0.8985"
"7236180","0.8968499999999999"
"7341180","0.8903"
"7446180","0.9024"
"7551180","0.9087"
"7656180","0.9058"
"7761180","0.9055"
"7866180","0.91075"
"7971180","0.9122"
"8076180","0.91125"
"8181180","0.89915"
"8286180","0.90235"
"8391180","0.9022"
"8496180","0.9031"
"8601180","0.90205"
"8706180","0.91115"
"8811180","0.9128"
"8916180","0.91805"
"9021180","0.91275"
"9126180","0.9275"
"9231180","0.92675"
"9336180","0.88315"
"9441180","0.8938999999999999"
"9546180","0.90435"
"9651180","0.90525"
"9756180","0.8950999999999999"
"9861180","0.905"
"9966180","0.90815"
"10071180","0.90185"
"10176180","0.9065"
"10281180","0.8997"
"10386180","0.90015"
"10491180","0.9081"
"10596180","0.90405"
"10701180","0.90285"
"10806180","0.8991500000000001"
"10911180","0.9003"
"11016180","0.9031"
"11121180","0.90635"
"11226180","0.91615"
"11331180","0.9139"
"11436180","0.8926499999999999"
"11541180","0.88925"
"11646180","0.9"
"11751180","0.897"
"11856180","0.914"
"11961180","0.9149"
"12066180","0.8333499999999999"
"12171180","0.8535"
"12276180","0.88545"
"12381180","0.90775"
"12486180","0.9174"
"12591180","0.9146999999999998"
"12696180","0.91945"
"12801180","0.9118"
"12906180","0.90925"
"13011180","0.9231"
"13116180","0.92965"
"13221180","0.9277"
"13326180","0.9389"
"13431180","0.9316"
"13536180","0.928"
"13641180","0.92135"
"13746180","0.91525"
"13851180","0.9255"
"13956180","0.9403"
"14061180","0.9442"
"14166180","0.9418"
"14271180","0.93865"
"14376180","0.9344"
"14481180","0.9381"
"14586180","0.9429"
"14691180","0.94575"
"14796180","0.94185"
"14901180","0.93615"
"15006180","0.94195"
"15111180","0.93965"
"15216180","0.9376"
"15321180","0.9357"
"15426180","0.93595"
"15531180","0.9433"
"15636180","0.8012"
"15741180","0.7981"
"15846180","0.8172999999999999"
"15951180","0.8346"
"16056180","0.8465499999999999"
"16161180","0.85265"
"16266180","0.84805"
"16371180","0.8519500000000001"
"16476180","0.8495499999999999"
"16581180","0.8471000000000001"
"16686180","0.85315"
"16791180","0.86025"
"16896180","0.86195"
"17001180","0.86245"
"17106180","0.8685499999999999"
"17211180","0.8647999999999999"
"17316180","0.8683"
"17421180","0.8635999999999999"
"17526180","0.8780999999999999"
"17631180","0.8835"
"17736180","0.8887999999999999"
"17841180","0.8884"
"17946180","0.902"
"18051180","0.8989000000000001"
"18156180","0.8937999999999999"
"18261180","0.9027"
"18366180","0.9038"
"18471180","0.8896499999999999"
"18576180","0.8903"
"18681180","0.8986500000000001"
"18786180","0.89325"
"18891180","0.8895"
"18996180","0.8870999999999999"
"19101180","0.8883"
"19206180","0.8982"
"19311180","0.9195"
"19416180","0.9134"
"19521180","0.91205"
"19626180","0.9236"
"19731180","0.9168"
"19836180","0.90485"
"19941180","0.91855"
"20046180","0.9279"
"20151180","0.92755"
"20256180","0.9276"
"20361180","0.9106"
"20466180","0.90305"
"20571180","0.9232"
"20676180","0.90925"
"20781180","0.908"
"20886180","0.9124"
"20991180","0.89865"
"21096180","0.89755"
"21201180","0.9093"
"21306180","0.9151"
"21411180","0.90985"
"21516180","0.90875"
"21621180","0.91395"
"21726180","0.92405"
"21831180","0.93205"
"21936180","0.9168999999999998"
"22041180","0.9075"
"22146180","0.9333"
"22251180","0.9248999999999998"
"22356180","0.9286"
"22461180","0.93905"
"22566180","0.9466"
"22671180","0.941"
"22776180","0.95315"
"22881180","0.9477"
"22986180","0.9459"
"23091180","0.9531"
"23196180","0.95255"
"23301180","0.9511"
"23406180","0.9504"
"23511180","0.9588"
"23616180","0.9664"
"23721180","0.9528"
"23826180","0.9502"
"23931180","0.9646"
"24036180","0.9587"
"24141180","0.95255"
"24246180","0.9577"
"24351180","0.9536"
"24456180","0.9569"
"24561180","0.96865"
"24666180","0.96765"
"24771180","0.9761"
"24876180","0.9724"
"24981180","0.9777"
"25086180","0.97855"
"25191180","0.9844"
"25296180","0.9828"
"25401180","0.9769"
"25506180","0.9783"
"25611180","0.97845"
"25716180","0.9821"
"25821180","0.97405"
"25926180","0.97435"
"26031180","0.9798"
"26136180","0.9789"
"26241180","0.98065"
"26346180","0.91455"
"26451180","0.9202"
"26556180","0.9296"
