"Step","pc_sp_seed1 - 8cover_rate"
"35000","0.00625"
"70000","0.0065"
"105000","0"
"140000","0"
"175000","0"
"210000","0"
"245000","0.0005"
"280000","0"
"315000","0.00225"
"350000","0.001"
"385000","0.00025"
"420000","0.00025"
"455000","0.0015"
"490000","0.00275"
"525000","0.001"
"560000","0.004"
"595000","0.003"
"630000","0.00295"
"665000","0.0046500000000000005"
"700000","0.001"
"735000","0"
"770000","0"
"805000","0"
"840000","0.00055"
"875000","0"
"910000","0"
"945000","0.0001"
"980000","0"
"1015000","0"
"1050000","0"
"1085000","0"
"1120000","0"
"1155000","0"
"1190000","0"
"1225000","0"
"1260000","0"
"1295000","0"
"1330000","0"
"1365000","0.00025"
"1400000","0.001"
"1435000","0.00165"
"1470000","0.0005"
"1505000","0.0019"
"1540000","0.001"
"1575000","0.0004"
"1610000","0.0015"
"1645000","0.0025"
"1680000","0.002"
"1715000","0.0009"
"1750000","0.00135"
"1785000","0.00125"
"1820000","0.00175"
"1855000","0.0015"
"1890000","0.00225"
"1925000","0.00035"
"1960000","0.00015"
"1995000","0.00065"
"2030000","0.0001"
"2065000","0.0005"
"2100000","0"
"2135000","0"
"2170000","0"
"2205000","0"
"2240000","0"
"2275000","0"
"2310000","0.00035"
"2345000","0"
"2380000","0"
"2415000","0.00005"
"2450000","0.00045"
"2485000","0.00035"
"2520000","0.0012"
"2555000","0.00025"
"2590000","0.00005"
"2625000","0.00225"
"2660000","0.003"
"2695000","0.003"
"2730000","0.001"
"2765000","0.0024"
"2800000","0.00445"
"2835000","0.0039"
"2870000","0.00445"
"2905000","0.0044"
"2940000","0.0029"
"2975000","0.0019"
"3010000","0.0028"
"3045000","0.0031500000000000005"
"3080000","0.0028"
"3115000","0.0025499999999999997"
"3150000","0.00335"
"3185000","0.0031500000000000005"
"3220000","0.0030999999999999995"
"3255000","0.0031"
"3290000","0.00385"
"3325000","0.0013"
"3360000","0.0015000000000000002"
"3395000","0.0008"
"3430000","0.00135"
"3465000","0.0023"
"3500000","0.00375"
"3535000","0.0027"
"3570000","0.0028"
"3605000","0.0035"
"3640000","0.0039"
"3675000","0.00175"
"3710000","0.003"
"3745000","0.0015"
"3780000","0.00135"
"3815000","0.0020499999999999997"
"3850000","0.00325"
"3885000","0.0054"
"3920000","0.0065"
"3955000","0.00325"
"3990000","0.004"
"4025000","0.00125"
"4060000","0.00405"
"4095000","0.0026"
"4130000","0.00375"
"4165000","0.0011"
"4200000","0.004199999999999999"
"4235000","0.00175"
"4270000","0.0016"
"4305000","0.0025499999999999997"
"4340000","0.0027"
"4375000","0.0025"
"4410000","0.0021000000000000003"
"4445000","0.00365"
"4480000","0.00135"
"4515000","0.00195"
"4550000","0.00425"
"4585000","0.0019"
"4620000","0.003"
"4655000","0.0010999999999999998"
"4690000","0.0032"
"4725000","0.0031"
"4760000","0.00215"
"4795000","0.00225"
"4830000","0.00135"
"4865000","0.00075"
"4900000","0"
"4935000","0.001"
"4970000","0.0013"
"5005000","0.0008"
"5040000","0.0028"
"5075000","0.00135"
"5110000","0.0018"
"5145000","0.00025"
"5180000","0.00025"
"5215000","0.0003"
"5250000","0"
"5285000","0"
"5320000","0"
"5355000","0"
"5390000","0"
"5425000","0"
"5460000","0"
"5495000","0"
"5530000","0"
"5565000","0"
"5600000","0"
"5635000","0"
"5670000","0"
"5705000","0"
"5740000","0"
"5775000","0"
"5810000","0"
"5845000","0"
"5880000","0"
"5915000","0"
"5950000","0"
"5985000","0"
"6020000","0"
"6055000","0"
"6090000","0"
"6125000","0"
"6160000","0"
"6195000","0"
"6230000","0"
"6265000","0"
"6300000","0"
"6335000","0"
"6370000","0"
"6405000","0"
"6440000","0"
"6475000","0"
"6510000","0"
"6545000","0"
"6580000","0"
"6615000","0"
"6650000","0"
"6685000","0"
"6720000","0"
"6755000","0"
"6790000","0"
"6825000","0"
"6860000","0"
"6895000","0"
"6930000","0"
"6965000","0"
"7000000","0"
"7035000","0"
"7070000","0"
"7105000","0"
"7140000","0"
"7175000","0"
"7210000","0"
"7245000","0"
"7280000","0"
"7315000","0"
"7350000","0"
"7385000","0"
"7420000","0"
"7455000","0"
"7490000","0"
"7525000","0"
"7560000","0"
"7595000","0"
"7630000","0"
"7665000","0"
"7700000","0"
"7735000","0"
"7770000","0"
"7805000","0"
"7840000","0"
"7875000","0"
"7910000","0"
"7945000","0"
"7980000","0"
"8015000","0"
"8050000","0"
"8085000","0"
"8120000","0.00025"
"8155000","0.001"
"8190000","0.00025"
"8225000","0.00025"
"8260000","0.0025"
"8295000","0.00225"
"8330000","0.001"
"8365000","0.00225"
"8400000","0.0021000000000000003"
"8435000","0.00215"
"8470000","0.0015"
"8505000","0.0019"
"8540000","0.0025"
"8575000","0.00295"
"8610000","0.0025499999999999997"
"8645000","0.0027"
"8680000","0.00195"
"8715000","0.0023499999999999997"
"8750000","0.003"
"8785000","0.0035"
"8820000","0.004200000000000001"
"8855000","0.0025499999999999997"
"8890000","0.002"
"8925000","0.003"
"8960000","0.0025"
"8995000","0.002"
"9030000","0.00405"
"9065000","0.004050000000000001"
"9100000","0.0015"
"9135000","0.00235"
"9170000","0.002"
"9205000","0.0021000000000000003"
"9240000","0.0019"
"9275000","0.00135"
"9310000","0.0012"
"9345000","0.0011"
"9380000","0.001"
"9415000","0.00155"
"9450000","0.0024500000000000004"
"9485000","0.00235"
"9520000","0.0027"
"9555000","0.0032"
"9590000","0.0031"
"9625000","0.0050999999999999995"
"9660000","0.00325"
"9695000","0.0026"
"9730000","0.00215"
"9765000","0.0045"
"9800000","0.0025"
"9835000","0.002"
"9870000","0.00225"
"9905000","0.00175"
"9940000","0.00275"
"9975000","0.0025"
